,name,sales,profit,market
74,아이오케이,20968142132,-5213638039,KOSDAQ
75,제이엠아이,12780625125,-7413288395,KOSDAQ
76,인트로메딕,5945898522,-7898662739,KOSDAQ
77,와이제이엠게임즈,4642415976,-5249555104,KOSDAQ
78,아난티,59133612269,-8138187352,KOSDAQ
79,에스넷,203011407610,-2549871921,KOSDAQ
80,한국전자인증,32498087699,3724221540,KOSDAQ
81,파인텍,63760475680,-28045274365,KOSDAQ
82,젬백스링크,93561525700,4141139397,KOSDAQ
83,대창솔루션,25432584474,-25654344840,KOSDAQ
84,메디콕스,16190177636,-8788023073,KOSDAQ
85,우리기술,33130236822,-1668013879,KOSDAQ
86,한국큐빅,32819117985,6058903078,KOSDAQ
87,YW,16652185746,3969764444,KOSDAQ
88,코디엠,27963850016,-7526109505,KOSDAQ
89,대아티아이,113380720555,7756707225,KOSDAQ
90,디스플레이텍,36225202665,4865361181,KOSDAQ
91,엠케이전자,476530542040,10715964476,KOSDAQ
92,아비코전자,74175042448,5586914807,KOSDAQ
93,인성정보,105395601770,-6586901310,KOSDAQ
94,옵트론텍,140224957107,-21590873299,KOSDAQ
95,우리이앤엘,114377113652,-4479517536,KOSDAQ
96,뉴프렉스,157437071176,-13992216018,KOSDAQ
97,드림시큐리티,24874759715,1819462987,KOSDAQ
98,세종텔레콤,253481518452,19530627082,KOSDAQ
99,나무가,388515151956,-1629304520,KOSDAQ
100,에코플라스틱,850691895232,6639248790,KOSDAQ
101,한송네오텍,19347175084,-1376715814,KOSDAQ
102,성우전자,21951232072,1230719270,KOSDAQ
103,바이오로그디바이스,73370440676,-5388320955,KOSDAQ
104,시스웍,18772442685,1904547115,KOSDAQ
105,초록뱀미디어,25261190618,-44263742569,KOSDAQ
106,스맥,108462425379,-26650808136,KOSDAQ
107,이루온,21501698757,397625478,KOSDAQ
108,아이에이,45467368369,14692007538,KOSDAQ
109,아미노로직스,17650767018,2073891062,KOSDAQ
110,삼화네트웍스,27890278348,-4819863719,KOSDAQ
111,흥국에프엔비,48422009516,4267754629,KOSDAQ
112,바이오니아,158174269882,45546941972,KOSDAQ
113,인터파크,169181557263,-5315246384,KOSDAQ
114,성호전자,72901277789,16386990451,KOSDAQ
115,루멘스,135925053911,-8441680056,KOSDAQ
116,줌인터넷,23814219086,2044878847,KOSDAQ
117,판타지오,9143393519,-9167526705,KOSDAQ
118,중앙디앤엠,6179113495,-11551821111,KOSDAQ
119,카카오게임즈,378003049928,99447151669,KOSDAQ
120,에이비프로바이오,24998301183,-49199267795,KOSDAQ
121,SGA,37878216403,-2996599861,KOSDAQ
122,이브이첨단소재,43842729644,-5453447477,KOSDAQ
123,지나인제약,41937565619,-42498693966,KOSDAQ
124,아이엠,21368085097,-12891894894,KOSDAQ
125,SGA솔루션즈,18881619877,310980708,KOSDAQ
126,SM C&C,130340366829,-11539590447,KOSDAQ
