,name,sales,profit,market
74,옴니시스템,85829470231,-3920799867,KOSDAQ
75,해성옵틱스,60377415113,-25646201691,KOSDAQ
76,카페24,172419130093,8616232383,KOSDAQ
77,삼지전자,76157432609,11946591760,KOSDAQ
78,와이아이케이,135985764495,15200816389,KOSDAQ
79,시너지이노베이션,20602616811,-24432790606,KOSDAQ
80,아이오케이,20968142132,-5213638039,KOSDAQ
81,시티랩스,20485948450,-11065292907,KOSDAQ
82,소프트센,47614800961,-1817575841,KOSDAQ
83,와이제이엠게임즈,4642415976,-5249555104,KOSDAQ
84,넥슨지티,26436733470,3553289514,KOSDAQ
85,아난티,59133612269,-8138187352,KOSDAQ
86,에스넷,203011407610,-2549871921,KOSDAQ
87,한국전자인증,32498087699,3724221540,KOSDAQ
88,파인텍,63760475680,-28045274365,KOSDAQ
89,젬백스링크,93561525700,4141139397,KOSDAQ
90,메디콕스,16190177636,-8788023073,KOSDAQ
91,재영솔루텍,88642655913,-4031534939,KOSDAQ
92,S&K폴리텍,17607628458,-3434190031,KOSDAQ
93,우리기술,33130236822,-1668013879,KOSDAQ
94,파인테크닉스,113672270240,5292081607,KOSDAQ
95,코디엠,27963850016,-7526109505,KOSDAQ
96,대아티아이,113380720555,7756707225,KOSDAQ
97,디스플레이텍,36225202665,4865361181,KOSDAQ
98,아비코전자,74175042448,5586914807,KOSDAQ
99,옵트론텍,140224957107,-21590873299,KOSDAQ
100,릭스솔루션,25006895392,-19141822219,KOSDAQ
101,서린바이오,60880233600,5571273784,KOSDAQ
102,드림시큐리티,24874759715,1819462987,KOSDAQ
103,한송네오텍,19347175084,-1376715814,KOSDAQ
104,바이오로그디바이스,73370440676,-5388320955,KOSDAQ
105,시스웍,18772442685,1904547115,KOSDAQ
106,초록뱀미디어,25261190618,-44263742569,KOSDAQ
107,이루온,21501698757,397625478,KOSDAQ
108,아이에이,45467368369,14692007538,KOSDAQ
109,아미노로직스,17650767018,2073891062,KOSDAQ
110,흥국에프엔비,48422009516,4267754629,KOSDAQ
111,바이오니아,158174269882,45546941972,KOSDAQ
112,한일단조,126552433651,-4218827781,KOSDAQ
113,디젠스,49594017580,-7319745012,KOSDAQ
114,셀루메드,16535704527,-1678829297,KOSDAQ
115,인터파크,169181557263,-5315246384,KOSDAQ
116,루멘스,135925053911,-8441680056,KOSDAQ
117,판타지오,9143393519,-9167526705,KOSDAQ
118,카카오게임즈,378003049928,99447151669,KOSDAQ
119,에이비프로바이오,24998301183,-49199267795,KOSDAQ
120,에이치엘비파워,22768700018,-420869118,KOSDAQ
121,지나인제약,41937565619,-42498693966,KOSDAQ
122,아이엠,21368085097,-12891894894,KOSDAQ
123,SM C&C,130340366829,-11539590447,KOSDAQ
